,Ticker,Open,High,Low,Close,Volume,Change,ChangePercent,Type,MarketCap,SharesFloat,SharesOutstanding,SharesShort,SharesShortRatio,SharesShortPercentOfFloat,SharesInsidersPercent,SharesInstitutionsPercent,Beta,TotalAssets,NAV,Date
2054,HFRO,8.05,8.07,7.95,8.01,723126.0,0.010000229,0.0012500286,EQUITY,571988480.0,,71409296.0,,,,0.0,0.6075,,,,2020-11-05
2055,HFWA,19.83,20.84,19.83,20.55,90845.0,0.7099991,0.035786245,EQUITY,737956608.0,35280906.0,35910300.0,1943749.0,13.29,0.0648,0.016180001,0.83589,0.749154,,,2020-11-05
2056,HGBL,1.73,1.8,1.7,1.77,29463.0,0.03999996,0.023121364,EQUITY,62280104.0,16304194.0,35186500.0,63372.0,0.33,0.0028,0.29925,0.1552,1.51071,,,2020-11-05
2057,HGEN,11.0,11.21,10.85,11.2,228482.0,0.19999981,0.0181818,EQUITY,575544448.0,22651503.0,51387900.0,574420.0,0.67,0.043899998,0.40460998,0.20115,-0.775648,,,2020-11-05
2058,HGLB,5.07,5.28,5.05,5.12,138618.0,0.059999943,0.011857696,EQUITY,115209728.0,,22501900.0,6345.0,0.08,0.0005,0.15266,0.23492001,,,,2020-11-05
2059,HGV,22.5,23.91,22.48,23.9,787427.0,1.5499992,0.0693512,EQUITY,2034045184.0,72777107.0,85106496.0,2373462.0,3.75,0.028099999,0.0072399997,1.05659,2.130116,,,2020-11-05
2060,HHC,65.45,67.5,65.15,67.17,313487.0,2.119995,0.03259024,EQUITY,3691589120.0,41611852.0,54958900.0,1778427.0,4.84,0.058000002,0.034930002,0.94515,1.589627,,,2020-11-05
2061,HHR,23.92,24.17,23.87,24.03,78032.0,0.23999977,0.010088262,EQUITY,1209139200.0,24068039.0,50317900.0,35484.0,0.22,,0.0,0.46608,,,,2020-11-05
2062,HI,29.13,30.44,29.13,30.16,466508.0,1.2099991,0.041796163,EQUITY,2253892864.0,74133329.0,74731200.0,1432751.0,3.54,0.0228,0.01818,0.85847,1.427846,,,2020-11-05
2063,HIBB,37.26,39.65,37.26,39.48,421485.0,2.459999,0.06645054,EQUITY,653141312.0,14977610.0,16543600.0,4223699.0,6.94,0.35970002,0.01268,1.25757,1.762683,,,2020-11-05
